scr	time	username
1053	16.131	thatMetthew
1052	16.146	thatMetthew
1051	16.162	thatMetthew
1051	16.165	thatMetthew
1050	16.181	thatMetthew
1050	16.180	thatMetthew
1048	16.214	thatMetthew
1047	16.231	thatMetthew
1046	16.248	thatMetthew
1046	16.248	thatMetthew
1045	16.264	thatMetthew
1044	16.283	thatMetthew
1043	16.296	thatMetthew
1031	16.481	thatMetthew
1028	16.531	thatMetthew
1028	16.532	thatMetthew
1026	16.565	thatMatthew
1025	16.573	thatMatthew
1015	16.746	thatMatthew
1014	16.764	thatMatthew
1009	16.848	thatMetthew
1005	16.912	HUncutzoli
1002	16.964	thatMatthew
1001	16.981	Huncutzoli
1000	16.997	thatMatthew
999	17.013	thatMetthew
992	17.131	HUncutzoli
999	17.015	thatMatthew
990	17.164	thatMetthew
988	17.199	thatMetthew
987	17.214	thatMatthew
988	17.198	thatMatthew
985	17.249	thatMatthew
985	17.250	Huncutzoli
984	17.265	thatMatthew
984	17.271	HUncutzoli
984	17.265	Huncutzoli
983	17.281	HUncutzoli
982	17.299	thatMatthew
981	17.314	Huncutzoli
980	17.330	HUncutzoli
979	17.363	HUncutzoli
977	17.398	Huncutzoli
972	17.481	HUncutzoli
970	17.513	thatMatthew
970	17.515	HUncutzoli
968	17.548	Huncutzoli
967	17.566	Huncutzoli
967	17.564	Huncutzoli
966	17.587	HUncutzoli
965	17.599	HUncutzoli
965	17.614	Huncutzoli
964	17.629	HUncutzoli
962	17.664	Huncutzoli
959	17.714	HUncutzoli
959	17.716	HUncutzoli
955	17.798	thatMatthew
953	17.833	thatMatthew
943	18.012	HUncutzoli
936	18.148	csicska
935	18.181	Huncutzoli
932	18.231	HUncutzoli
928	18.314	Gergo
926	18.347	Gergo
923	18.412	HUncutzoli
921	18.446	Gergo
919	18.497	HUncutzoli
914	18.582	HUncutzoli
910	18.680	thatMatthew
909	18.698	thatMatthew
908	18.712	HUncutzoli
906	18.762	thatMatthew
905	18.782	Gergo
905	18.780	thatMatthew
901	18.865	Gergo
896	18.964	HUncutzoli
894	18.998	HUncutzoli
893	19.029	Gergo
891	19.079	janusz
889	19.113	thatMatthew
888	19.132	thatMatthew
887	19.149	HUncutzoli
887	19.162	janusz
884	19.230	thatMatthew
882	19.264	thatMatthew
881	19.281	Gergo
880	19.298	thatMatthew
878	19.346	mocskosfos
877	19.380	thatMatthew
